id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
74,1A1005701000100,L-ARGININA,AMARGINE,SOLUCION ORAL,100,MG/ML,FRASCO X 200 ML,0
75,1A1006321000100,GATO (EPITELIO),NO REPORTADO,SUSPENSION INYECTABLE,100,%,ESTUCHE X 1 VIAL,0
76,1A1006321000101,GATO (EPITELIO) 100%,RETARD RAPID,SUSPENSION INYECTABLE,10,HEP/ML,ESTUCHE X 2 VIALES,0
77,1A1006331000100,PERRO (EPITELIO),NO REPORTADO,SUSPENSION INYECTABLE,100,%,ESTUCHE X 1 VIAL,0
78,1A1006331000101,PERRO (EPITELIO) 100%,RETARD RAPID,SUSPENSION INYECTABLE,10,HEP/ML,ESTUCHE X 2 VIALES,0
79,1A1006431000101,CABALLO (EPITELIO) 100%,RETARD RAPID,SUSPENSION INYECTABLE,10,HEP/ML,ESTUCHE X 2 VIALES,0
80,1A1006851000100,TRIOXIDO DE ARSENICO,NO REPORTADO,SOLUCION INYECTABLE,1,MG/ML,CAJAS X UN (1) VIAL DE 10ML,0
81,1A1006851002100,TRIOXIDO DE ARSENICO,VARITRINOX,SOLUCION INYECTABLE,1,MG/ML,VIAL X 10 ML,0
82,1A1006851002101,TRIOXIDO DE ARSENICO,VARITRINOX,SOLUCION INYECTABLE,1,MG/ML,CAJAS POR 10 AMPOLLAS,0
83,1A1006851002102,TRIOXIDO DE ARSENICO,VARITRINOX,SOLUCION INYECTABLE,1,MG/ML,CAJAS POR 10 VIALES,0
84,1A1006851003100,TRIOXIDO DE ARSENICO,PHENASEN,SOLUCION INYECTABLE,1,MG/ML,CAJA X 10 VIALES,0
85,1A1006851004100,TRIOXIDO DE ARSENICO,ARSITRI,SOLUCION INYECTABLE,1,MG/ML,VIALES,0
86,1A1006851005100,TRIOXIDO DE ARSENICO,ARSENIN,SOLUCION INYECTABLE,1,MG/ML,CAJAS X 10 VIALES,0
87,1A1006851006100,TRIOXIDO DE ARSENICO,ASADIN,SOLUCION INYECTABLE,1,MG/ML,VIAL X 10 ML,0
88,1A1006851007100,TRIOXIDO DE ARSENICO,CADILA HEALTHCARE LIMITED,SOLUCION INYECTABLE,1,MG/ML,CAJA X 10 VIALES X 10ML,0
89,1A1006851008100,TRIOXIDO DE ARSENICO,ARSEDN,SOLUCION INYECTABLE,1,MG/ML,CAJAS X UN (1) VIAL,0
90,1A1006851009100,TRIOXIDO DE ARSENICO,NO REPORTADO,CONCENTRADO PARA SOLUCION PARA PERFUSION,1,MG/ML,VIALES X 10 ML,0
91,1A1007581000100,AGANIRSEN,GS-101,SOLUCION,0.86,MG/ML,CAJA X 7 TIRAS X 10 UNIDOSIS C/U,0
92,1A1008971000101,ALERGENO PHLEUM PRATENSE,PRICK TEST,SOLUCION CUTANEA,50,HEP,"FRASCO X 2,5 ML",0
93,1A1009051000101,ARTEMISA VULGARIS,PRICK TEST,SOLUCION CUTANEA,50,HEP/ML,"FRASCOS X 2,5 ML",0
94,1A1009191000101,ALERGENO DERMATOPHAGOIDES PTERONYSSINUS,PRICK TEST,SOLUCION CUTANEA,100,HEP/ML,"FRASCOS X 2,5 ML",0
95,1A1009311000101,ALERGENO ALTERNARIA ALTERNATA,ORALTEK,SOLUCION ORAL,30000,UT/ML,ESTUCHE X 1 FRASCO X 6 ML,0
96,1A1009421000100,AMBROSIA ELATIOR,PRICK TEST,SOLUCION TOPICA,500,MCG/ML,"FRASCOS X 2,5 ML",0
97,1A1009751000101,EPITELIO DE CABALLO,PRICK TEST,SOLUCION,50,MCG/ML,"FRASCOS X 2,5 ML",0
98,1A1009761000100,ALERGENO ALTERNARIA ALTERNATA,PRICK TEST,SOLUCION CUTANEA,3,MCG/ML,"VIAL X 2,5 ML",0
99,1A1009831000100,ALERGENO PENICILLIUM NOTATUM,PRICK TEST,SOLUCION CUTANEA,25,MCG/ML,"VIAL X 2,5 ML",0
100,1A1009991000101,AVELLANA,PRICK TEST,SOLUCION CUTANEA,750,MCG/ML,"FRASCO X 2,5 ML",0
101,1A1010011000101,ALERGENO ALMENDRA,PRICK TEST,SOLUCION,750,MCG/ML,"FRASCOS X 2,5 ML",0
102,1A1010071000100,ALERGENO CARNE VACA,PRICK TEST,SOLUCION CUTANEA,2000,MCG/ML,"VIAL X 2,5 ML",0
103,1A1010141000101,ATUN,PRICK TEST,SOLUCION CUTANEA,2000,MCG/ML,"FRASCO X 2,5 ML",0
104,1A1010181000100,ALERGENO YEMA HUEVO,PRICK TEST,SOLUCION CUTANEA,1000,MCG/ML,"VIAL X 2,5 ML",0
105,1A1010681000100,EXTRACTO ALERGENICO HISTAMINA (CONTROL POSITIVO),PRICK TEST,SOLUCION CUTANEA,10,MG/ML,"VIALES X 2,5ML",0
106,1A1010681000101,EXTRACTO ALERGENICO (ALERGENO HISTAMINA),PRICK TEST,SOLUCION INYECTABLE,10,MG/ML,"FRASCO X 2,5 ML",0
107,1A1010971000101,ALERGENO MEZCLA DE PESCADO BLANCO,PRICK TEST,SOLUCION CUTANEA,2000,MCG/ML,"FRASCO X 2,5 ML",0
108,1A1013921000101,EXTRACTOS ALERGENICOS,ALXOID - ORALTEK,SOLUCION PERLINGUAL,VARIAS,VARIAS,ESTUCHE X 1 VIAL DE 6 ML,0
109,1A1013931000101,EXTRACTOS ALERGENICOS,ALXOID - ORALTEK,SOLUCION PERLINGUAL,VARIAS,VARIAS,ESTUCHE X 1 VIAL DE 6 ML,0
110,1A1014711007100,ALPROSTADIL,NEUPEDIX,SOLUCION PARA INFUSION,500,ΜG/ML,CAJAS X 5 AMPOLLAS,0
111,1A1014821001100,AMIODARONA CLORHIDRATO,CIRTRENT,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 6 AMPOLLAS DE 3 ML,0
112,1A1014821002100,AMIODARONA CLORHIDRATO,REPREFARCO,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 10 AMPOLLAS X 3 ML,0
113,1A1014821002101,AMIODARONA,NO REPORTADO,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 5 AMPOLLAS X 3 ML,0
114,1A1014821003100,AMIODARONA,NO REPORTADO,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 5 AMPOLLAS DE 3 ML,0
115,1A1014981000100,AZTREONAM,CAYSTON,POLVO PARA NEBULIZAR,75,MG,CAJAS X 84 VIALES + DISOLVENTE,0
116,1A1015651000100,EXTRACTOS ALERGENICOS,NO REPORTADO,VARIAS,VARIAS,VARIAS,NO REPORTADO,0
117,1A1015921002100,ATROPINA,ATROPISA,SOLUCION INYECTABLE,1,MG/ML,CAJA X 50 AMPOLLAS X 1 ML,0
118,1A1017311000101,EPITELIO DE GATO,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
119,1A1017371000101,EPITELIO DE PERRO,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
120,1A1017401000102,EXTRACTOS ALERGENICOS - EPITELIO DE CABALLO,ALUTEK,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
121,1A1017511000101,ALERGENO GRAMINEAS SALVAJES,PRICK TEST,SOLUCION CUTANEA,50,HEP,"FRASCO X 2,5 ML",0
122,1A1019321000101,EXTRACTOS ALERGENICOS TRATAMIENTO SUBCUTANEO DEPIGOID CYNODON DACTYLON 100%,DEPIGOID,SUSPENSION INYECTABLE,1000,DDP/ML,ESTUCHES X 2 VIALES,0
123,1A1019341000101,BLOMIA TROP 100%,DEPIGOID,SUSPENSION INYECTABLE,100,DDP/ML,ESTUCHES X 2 VIALES,0
124,1A1019361000101,GRUPO GRAMINEAS 100%,DEPIGOID,SUSPENSION INYECTABLE,1000,DDP/ML,ESTUCHES X 2 VIALES,0
125,1A1020541000100,AVELUMAB,BAVENCIO,SOLUCION INYECTABLE,20,MG/ML,CAJA X 8 VIALES X 10 ML,0
126,1A1020541000101,AVELUMAB,BAVENCIO,SOLUCION INYECTABLE,20,MG/ML,CAJA X 1 VIAL DE 10 ML,0
127,1A1020721000100,ALECTINIB,ALECENSA,CAPSULA,150,MG,CAJA X 224 CAPSULAS,0
128,1A1020721000102,ALECTINIB,ALECENSA,CAPSULA,150,MG,CAJA X 260 CAPSULAS,0
129,1A1023311000102,"APIS MELLIFERA 0 (VIALES 1, 2, 3, 4 Y 5)",VENOX,POLVO LIOFILIZADO PARA RECONSTITUCION,100,MCG/ML,"ESTUCHES. CADA ESTUCHE CON UN (1) VIAL CON LIOFILIZADO, UN (1) VIAL CON DILUYENTE (5 ML) Y CUATRO (4) VIALES CON DILUYENTE DE 1,8 ML",0
130,1A1023311000103,APIS MELLIFERA 2,VENOX,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE + DILUYENTE,100,ΜG/ML,ESTUCHE X 1 VIAL LIOFILIZADO + 1 VIAL CON DILUYENTE DE 5 ML,0
131,1A1024381000101,ALERGENO CALAMAR,PRICK TEST,SOLUCION CUTANEA,2000,MCG/ML,"FRASCO X 2,5 ML",0
132,1A1024551000101,VESPULA GERMANICA 0,VENOX,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE + DILUYENTE,100,ΜG/ML,"ESTUCHES. CADA ESTUCHE CON UN (1) VIAL CON LIOFILIZADO, UN (1) VIAL CON DILUYENTE (5 ML) Y CUATRO (4) VIALES CON DILUYENTE DE 1,8 ML",0
133,1A1024551000102,VESPULA GERMANICA 2,VENOX,POLVO LIOFILIZADO PARA RECONSTITUCION,100,MCG/ML,ESTUCHES. CADA ESTUCHE CON UN (1) VIAL CON LIOFILIZADO Y UN (1) VIAL CON DILUYENTE DE 5 ML,0
134,1A1025721000100,L-ARGININA,ARGININA NM,POLVO PARA DISOLUCION,7,G,CAJA X 90 SOBRES,0
135,1A1027171000101,EXTRACTO ALERGENICO MOSQUITO 100%,EH RETARD,SUSPENSION INYECTABLE,0.05,%,ESTUCHES X 2 VIALES,0
