id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
96,E722,TRASTORNOS DEL METABOLISMO DEL CICLO DE LA UREA,"Enf. endocrinas, nutricionales y metabólicas",1
97,B160,"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION) CON COMA HEPATICO",Enfermedades infecciosas y parasitarias,1
98,C382,TUMOR MALIGNO DEL MEDIASTINO POSTERIOR,Neoplasias malignas (oncológico),1
99,C541,TUMOR MALIGNO DEL ENDOMETRIO,Neoplasias malignas (oncológico),1
100,N033,NEFROPATIA POR IGA,Enfermedades del sistema genitourinario,1
101,C740,TUMOR MALIGNO DE LA CORTEZA DE LA GLANDULA SUPRARRENAL,Neoplasias malignas (oncológico),1
102,I958,OTROS TIPOS DE HIPOTENSION,Enfermedades del sistema circulatorio,1
103,G406,"ATAQUES DE GRAN MAL, NO ESPECIFICADOS (CON O SIN PEQUENO MAL)",Enfermedades del sistema nervioso,1
104,E232,DIABETES INSIPIDA,"Enf. endocrinas, nutricionales y metabólicas",1
105,E872,ACIDOSIS,"Enf. endocrinas, nutricionales y metabólicas",1
106,C786,TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO,Neoplasias malignas (oncológico),1
107,G711,TRASTORNOS MIOTONICOS,Enfermedades del sistema nervioso,1
108,C480,TUMOR MALIGNO DEL RETROPERITONEO,Neoplasias malignas (oncológico),1
109,D693,PURPURA TROMBOCITOPENICA IDIOPATICA,Neoplasias benignas / Enf. de la sangre,1
110,Q811,EPIDERMOLISIS BULLOSA LETAL,Malformaciones congénitas,1
111,NO REPORTADO,BLOQUEO CARDIACO Y ATAQUES DE ADAMSSOTKES,Enfermedades del sistema genitourinario,1
112,G402,EPILEPSIA Y SINDROMES EPILEPTICOS SINTOMATICOS RELACIONADOS CON LOCALIZACIONES (FOCALES) (PARCIALES) Y CON ATAQUES PARCIALES COMPLEJOS,Enfermedades del sistema nervioso,1
